Gene,Accession,Chromosome,End,Start,Strand,fit_alpha,fit_beta,fit_gamma,fit_U_switch,fit_likelihood,fit_scaling
Crat,Crat,2,30415748,30400476,-,1.2838867841831503,0.03682130903533477,0.029451558394662798,34.51935712338703,0.4456578916676594,10.207041417312173
Zfp202,Zfp202,9,40213604,40192316,+,1.7998399476227718,0.0759445200801245,0.09242704372093911,23.462411063584707,0.4001170979223061,2.714314570134629
Capn5,Capn5,7,98178193,98121565,-,1.2448146431908924,0.044701978357918136,0.04768402534137001,27.568500143141705,0.620092054268037,3.8840450041988044
R3hcc1l,R3hcc1l,19,42592256,42518805,+,0.608256184718839,0.02165613781662889,0.021816325143577325,27.806141056659946,0.32619877976216843,1.328614123403334
Zfp715,Zfp715,7,43313261,43296523,-,0.3837441524646993,0.022928438885352332,0.016632598015121403,16.569235822799648,0.4962396949434661,4.423066707378993
Mpped2,Mpped2,2,106868360,106693459,+,3.7962179444762776,0.018156084539760906,0.06937591157058788,206.9970404026884,0.7896937733944355,1.7037675317802723
Cplx1,Cplx1,5,108550027,108518554,-,5.07658555079956,0.08240575799147928,0.06616575309482929,60.98869566628137,1.1438603627083235,18.005164061701553
Scube1,Scube1,15,83725039,83602583,-,0.9263030216474843,0.01569478147495326,0.015206300429954024,58.42961196334469,0.37958554763439833,1.3585025220310105
Fam122b,Fam122b,X,53269805,53243415,-,5.4762608103236055,0.11508208310375505,0.10854753450779339,47.10983722229364,0.8816476233180264,2.846616844137306
Dmd,Dmd,X,85205050,82948870,+,0.8129685233091034,0.028175964694431593,0.02542581348354408,28.56473050007308,0.5924267993778103,0.23988137664550346
Ssbp2,Ssbp2,13,91706175,91461097,+,7.028546837607333,0.013562971429614068,0.05485100580908665,501.22804914890344,0.6992645756690957,4.160959658580554
Siae,Siae,9,37648318,37613847,+,,,,,0,0
4930422G04Rik,4930422G04Rik,3,127618023,127553489,+,3.396470409284241,0.09657039107579787,0.1138496273393477,34.81922013293055,0.9319399418818521,1.567069763308456
Tbx2,Tbx2,11,85841948,85832615,+,2.2455282992531242,0.010190768668860017,0.01727269606135932,218.14576392589976,0.8052498501430118,1.9981610500120657
Dna2,Dna2,10,62974188,62947029,+,6.899360026177911,0.09961993767189813,0.11681201379904682,68.56425114832125,0.5591589098262072,3.8188743977644544
Ncam1,Ncam1,9,49799069,49502146,-,8.122723873551873,0.01455010900996057,0.024766295455304312,552.6760403864594,0.5666290412637829,0.7055235898199923
Tgif1,Tgif1,17,70853532,70844205,-,2.220354002493445,0.044077368818369066,0.06519639169525004,49.87027405212173,0.8473123812855895,13.734869019918259
Entpd5,Entpd5,12,84409029,84373857,-,0.1811128766075519,0.01181614128072344,0.010286673734526243,15.174306364632319,0.43026234498090904,7.295587458016778
Cds2,Cds2,2,132312041,132263257,+,1.4904804817112984,0.013310978441039028,0.015880534289066887,110.85403551889496,0.5013668802363332,8.380146297944371
Lipa,Lipa,19,34527474,34492316,-,13.865991130088963,0.1315166087071448,0.2191143302175856,104.37716843319365,0.6216079634456775,10.151867608872983
Il4ra,Il4ra,7,125579474,125552282,+,8.303627952699742,0.06377753837274432,0.18078768902062287,128.89477836425652,0.672365526243134,42.46104619082644
Ak4,Ak4,4,101467771,101419289,+,2.2908009816614805,0.06366818181216742,0.07117075295238671,35.6205078784181,0.9948773822726649,3.5137092468517253
Sc4mol,Sc4mol,8,64733578,64718145,-,0.8571053059954469,0.009006196991130113,0.012030139315822159,94.21671031304156,0.6093601824080793,15.295556348906064
Dach1,Dach1,14,98169543,97786847,-,0.6263086115563974,0.013788584167081832,0.02180976477953218,44.96803427585398,0.5232071357922363,0.14244505287898346
Wdfy1,Wdfy1,1,79761769,79702262,-,9.181213232939959,0.06262698900131898,0.16328957317602436,143.85403530437145,0.7695778322631273,4.914264434719168
Enox2,Enox2,X,49288242,49009707,-,0.704979781372291,0.01821380343505475,0.034145311891652284,38.31873919399582,0.4676794702955872,1.175549470595966
Snx13,Snx13,12,35147477,35047189,+,0.30114627139702244,0.013342527665629007,0.01604586752075777,22.344702304875998,0.48248647783731724,2.710051550194934
Fut8,Fut8,12,77475996,77238104,+,1.439225601054214,0.044183113746626076,0.048273455451728536,32.2483687594896,0.3962801164841468,1.1804645936521676
Bbs12,Bbs12,3,37321451,37312554,+,0.456688638981143,0.02387643679633014,0.022464143678315077,18.935897196386673,0.506590112952077,5.750866251053673
Olfm2,Olfm2,9,20728214,20667986,-,2.557421874114216,0.010181039518968524,0.02743661309289924,248.68262721659525,0.5780654735396066,6.525602476592148
C230081A13Rik,C230081A13Rik,9,56418050,56201129,-,0.9472947045408739,0.0333338190297608,0.04711479756902658,28.13424278382767,0.48078123142709134,0.723793858974904
Zfp763,Zfp763,17,33033381,33016864,-,1.065575662664556,0.047568943453002145,0.04759261851963549,22.17665202255681,0.4372741926462454,4.121996060293396
Gria4,Gria4,9,4796234,4417893,-,0.5514383032355958,0.021525272947918058,0.024525758360176526,25.361997570211628,0.732433787215342,0.21004647181894776
Klhl23,Klhl23,2,69836651,69822370,+,1.1211534456270589,0.02139263015437959,0.025816872248566547,51.8843126422936,0.4537975951243445,26.7697777683843
Ermp1,Ermp1,19,29648420,29609883,-,0.8465732215834118,0.04722679887244823,0.044668970193169476,17.746438661472002,0.4690083721086596,5.503507917305074
St6galnac3,St6galnac3,3,153725133,153202509,-,0.6217288916296813,0.02292180137191033,0.0454446265625011,26.852671512443482,0.5997589482485151,0.19547621566829831
Blcap,Blcap,2,157566361,157556362,-,2.596778116436581,0.0353225163354228,0.038802863762101236,72.78106437434374,0.39634016075785594,6.07658997674865
Hspa4l,Hspa4l,3,40790365,40745613,+,3.1877292560726938,0.01764997235268819,0.039272322064294554,178.8020910430102,0.501326988522377,12.226519306489479
Cenpk,Cenpk,13,104249622,104228611,+,3.1817428327725934,0.039290687854872414,0.03588010850813403,80.16976989763357,0.9475031003838276,5.0863079922834284
Zfp949,Zfp949,9,88571086,88548020,+,0.9833575888210899,0.011416326424386657,0.032596990642180454,85.27471769319014,0.716418349285939,4.645950234831085
Sgpl1,Sgpl1,10,61147665,61098642,-,0.8354766516984706,0.007862446956712711,0.00835558005238702,105.1990416895996,0.4076930796961658,8.286164989583291
Abhd4,Abhd4,14,54269169,54254129,+,1.0567389970396983,0.017559421683896716,0.016844982823783706,59.5789329456515,0.46771441581626605,22.140259564442275
Trmt2b,Trmt2b,X,134276984,134222955,-,0.41021154010767147,0.012538883460601339,0.019799688944957296,32.38800535810376,0.4028272429283778,3.3134323976119315
Zfp521,Zfp521,18,13972733,13687014,-,0.38968499912368604,0.020672863053874686,0.025025220057870314,18.66157329669639,0.5654740155663124,0.3372471265247893
Reck,Reck,4,43944806,43875530,+,1.002223087255226,0.017778258995832578,0.018482173570785826,55.80978748342325,0.4140351676256787,3.213914247073925
Ticrr,Ticrr,7,79698145,79660196,+,1.7002432775101892,0.06056027201891886,0.05066780225576065,27.79447298732819,0.8017715799105064,4.03508802623695
Grik2,Grik2,10,49788754,49099463,-,2.339601302849626,0.09717083569877588,0.11350183208851893,23.83642451116954,0.7158859631772946,0.11553716315923658
Trp53inp2,Trp53inp2,2,155389847,155381856,+,1.2043874201507063,0.01630156664896236,0.013359086410656031,73.14288078103802,0.4956086611087022,6.166880950570693
Stx2,Stx2,5,129008564,128984561,-,0.44339777233457583,0.00932146052579206,0.011947569739697208,47.09173990456078,0.5076972512632993,3.597083612081125
Cdh2,Cdh2,18,16809049,16588877,-,1.9427219778269993,0.016910862935748342,0.01781516796887382,113.7313196467948,0.38490439678526095,0.832354526906204
Zfp420,Zfp420,7,29877302,29859979,+,0.6786975259385353,0.050394019476938966,0.05658234944783531,13.333140671317674,0.5314941084746064,1.3662407618100227
Etv5,Etv5,16,22439570,22381313,-,3.124679822556654,0.06496785203299588,0.07300549974805613,47.614826834047,0.93955666204966,2.8094869395614435
Astn1,Astn1,1,158691786,158362304,+,0.37321136758669055,0.010456896686364273,0.010562533591574375,35.333547322182326,0.43534861428048083,0.5975190183038309
Kdm3a,Kdm3a,6,71632905,71588972,-,0.9837735674137087,0.017383455981512048,0.018284641503607892,56.02659406595493,0.48343783641081783,2.7857228551456363
Tle1,Tle1,4,72200919,72117142,-,4.244102664457863,0.06883468748100292,0.09048954287038168,61.0398883407855,0.5185115865184164,1.2636490586267977
Hipk2,Hipk2,6,38876190,38697840,-,7.72170106032135,0.03190948200828956,0.06519948222426479,239.56778890150036,1.0339279415060239,0.6937163508715747
Tmem246,Tmem246,4,49597870,49584506,-,1.2187515400308875,0.035751394879516445,0.03423293673152556,33.74872585242464,0.4450081988833673,13.43139111162158
Chrnb2,Chrnb2,3,89764632,89753448,-,,,,,0,0
4932415G12Rik,4932415G12Rik,10,94688613,94673493,-,0.8331347219854188,0.04379622233094579,0.0401927278426337,18.832751567770956,0.48939389167539493,4.739588021473352
Ncs1,Ncs1,2,31295471,31245923,+,2.133624331239884,0.015028680675825327,0.03253523937664828,140.5504670363545,0.47640850451410227,10.15713256282918
Ifitm2,Ifitm2,7,140955961,140954839,-,7.277475263955624,0.039106405446991836,0.039391872502424236,171.52330755188018,0.48205383278061475,83.06466622617918
Zfp866,Zfp866,8,69774911,69761324,-,1.4162796803843798,0.039465702338411054,0.02400903276140243,35.52747830401305,0.41301077022488053,12.817554311930751
Nedd4l,Nedd4l,18,65217826,64887756,+,0.6712564734366703,0.018637836388629526,0.040332331915492875,35.6556359249792,0.5555615945792293,0.4604043309052582
Zfpm2,Zfpm2,15,41104592,40655042,+,0.33454004372889073,0.01930099612801163,0.02567714799209543,17.159458563433283,0.7793044066226628,0.07373461581103646
Fblim1,Fblim1,4,141606052,141576062,-,1.6923944275401641,0.03837753334379883,0.046540814966177124,43.65758654302598,0.49380783663796624,13.312824823663988
Mlec,Mlec,5,115158176,115142981,-,5.47131917582122,0.03756278980195176,0.03951471796115125,144.20137621890802,0.4300429560109998,34.39089378607926
Emilin1,Emilin1,5,30921273,30913786,+,4.6752723585304325,0.014542479373821176,0.03608924698475151,318.2758260106055,0.6228072890650407,58.15509628036782
Cep110,Cep110,2,35178822,35109492,+,2.683126363497059,0.040381554194249915,0.03977826517988272,65.77991245914771,0.4580633816131944,5.480307101731694
Arhgef15,Arhgef15,11,68956858,68943154,-,0.9038452971486592,0.02570676866917079,0.029744732818271367,34.80821941072207,0.8310469341646208,8.217556805143749
Birc2,Birc2,9,7835255,7818226,-,0.41619893544009234,0.016031103742062406,0.013095806514382958,25.70234418760506,0.4272595539112332,5.823689495160776
Fbxo38,Fbxo38,18,62548743,62504059,-,0.9558333614267361,0.02165441805259183,0.021296244913557465,43.69893596374938,0.3603788951173328,3.864169626721657
Dkk3,Dkk3,7,112159057,112116019,-,1.1894418246529612,0.041077674953512645,0.048106877668454374,28.666359713373623,0.4993029612907598,6.119378610162876
2810021J22Rik,2810021J22Rik,11,58884338,58867240,+,0.6108215939940584,0.04287863789469022,0.03887237926975236,14.102905496655273,0.4454856748407117,3.722999917241279
Tspan7,Tspan7,X,10596604,10485116,+,35.34263036759182,0.032534734590458296,0.11986580997643481,1075.4415090319333,0.4760331413975731,17.44260560357545
Aacs,Aacs,5,125517403,125475873,+,1.6530540926149637,0.02335060665917329,0.04070377720686241,70.08484085983717,0.44787743504483885,13.913435004231403
Tspan14,Tspan14,14,40966807,40906444,-,3.276972750038841,0.03258150513100623,0.04160335912610213,99.57192000473614,0.48471174501575937,5.973953358548911
Phyhipl,Phyhipl,10,70599291,70557686,-,1.1014403326913336,0.011821183265893343,0.02422231351532091,92.24338248020683,0.5411040055012014,8.356179645952054
Zc4h2,Zc4h2,X,95658432,95639197,-,0.8484389026594072,0.013342620712227093,0.0187814958628718,62.95273857729346,0.36659903543248573,12.615621610719813
P4ha2,P4ha2,11,54131667,54100924,+,0.9139348329936472,0.03376869400230392,0.03561830682999504,26.79391404956258,0.4657156089467961,3.9290204715219925
Zdhhc15,Zdhhc15,X,104671064,104536970,-,0.9723606849838391,0.01833080975878855,0.034882090110651534,52.5147056131807,0.5319066547323993,3.101985238994332
Spock1,Spock1,13,57908332,57421195,-,1.773742591368829,0.05913264829895548,0.0741260627691713,29.69603452524819,0.6721789236852767,0.09357489617600881
Syngr3,Syngr3,17,24689949,24685092,-,4.881211581051328,0.09629341861283765,0.11491392645360184,50.18410951500448,0.6187845777299648,12.55701021534792
BC026590,BC026590,4,56809605,56802329,+,0.4630547249589165,0.013050868699722867,0.012809121869121616,35.12595124944149,0.37828064549383267,4.060636990950901
Tube1,Tube1,10,39151058,39134023,+,2.718211684117302,0.08630094151483299,0.07998427239033801,31.18192594473153,0.7048151157463629,3.0092835195718166
Ric8,Ric8,7,140863731,140857397,+,0.8905607488409787,0.013321497625743469,0.012922648218602006,66.182884696747,0.5554511069017917,10.67693537926726
2810468N07Rik,2810468N07Rik,17,25575043,25570811,+,1.7575444343320372,0.03301790628754487,0.044826570373213005,52.69773845851256,0.8160301593587317,9.8470818371133
Sema6d,Sema6d,2,124667770,124610296,+,0.4567306812637464,0.017834382540784083,0.02252879919838799,25.353463929412253,0.5763001622590037,2.3581261179261372
Rcan2,Rcan2,17,44039516,43801851,+,2.363627026350506,0.03799234625323156,0.051642350233229904,61.59110944320702,0.6094936218280391,1.9171759700169206
Shc4,Shc4,2,125724148,125627447,-,,,,,0,0
Bora,Bora,14,99074107,99046377,+,2.045954060891677,0.018634799347627174,0.02155406081536376,108.69419533302742,0.7362122728533943,3.9822549841240615
Capn7,Capn7,14,31371983,31336724,+,0.7376691991711629,0.012496306107115867,0.011513560670026507,58.44067046049674,0.45254213812029326,5.221988480178547
Ptpro,Ptpro,6,137464633,137252299,+,0.41754283583835894,0.018734740531167922,0.01975172634103745,22.064218439122737,0.5542971073827381,0.7662182332496018
Tmem106b,Tmem106b,6,13089269,13069759,+,0.4250387747190613,0.00931550407316965,0.008389121969684353,45.17075873369193,0.3733515506940808,11.362005779898663
Zfp260,Zfp260,7,30107614,30095076,+,0.788781154749028,0.012107274642092679,0.011781579946374899,64.4978631678718,0.41969088710153346,14.32840936632667
Rps6ka2,Rps6ka2,17,7303316,7170115,+,12.830649994627489,0.06392728123306408,0.24646197407798048,198.6998860216096,0.9078005138537188,3.17141320535617
Fbxo30,Fbxo30,10,11297969,11281330,+,7.672983197529226,0.034933279825948134,0.12859210459347212,217.45033399101288,0.5141017503237505,10.75740801745763
Snrk,Snrk,9,122169702,122117266,+,3.9851065872068423,0.01825665293854051,0.04318416233715117,216.09960679080362,0.7766766672261829,6.594402102541888
Gltpd1,Gltpd1,4,155869440,155864723,-,0.5077785623119419,0.012855527463265182,0.0101927828125583,39.103862375565356,0.4241568531640088,20.759310772574025
Atrn,Atrn,2,131030326,130906496,+,1.4475260429637034,0.012016929177443686,0.02754431867805586,119.25266108948755,0.45181948236997144,1.8121968527101102
Cdh11,Cdh11,8,102785111,102632995,-,3.4718042167739016,0.04997799313875569,0.07398717598985742,68.77199260609879,1.024676574340957,1.8860206578444227
Igdcc4,Igdcc4,9,65137943,65101495,+,0.4111106067789028,0.012382442375751786,0.016731764459146873,32.86908094223239,0.5551603398676667,1.8856170529706864
Ocrl,Ocrl,X,47965866,47912456,+,4.549905035900521,0.04183345691103542,0.0840914679304252,107.67472540270225,0.6137919224532217,3.521531282733879
Rab39,Rab39,9,53706232,53684110,-,0.9645569324444363,0.04167853725771419,0.047698766150053404,22.911345405799945,0.5049158884446073,3.6684033632820454
Cartpt,Cartpt,13,99900683,99898483,-,,,,,0,0
Srl,Srl,16,4523053,4480228,-,0.3389593147655861,0.023387737206430528,0.021663351411377985,14.348105533085278,0.5234621218052056,1.8876274735802054
Nsg2,Nsg2,11,32059202,32000459,+,2.580312767892493,0.04262336501461599,0.05196648829863111,59.93214377460813,0.9301046699003889,4.01316238552607
Shisa7,Shisa7,7,4844696,4825552,-,0.8446878984563315,0.04509072352690526,0.0459009313430626,18.54574409241382,0.845195973720339,2.853665608561972
Slc16a2,Slc16a2,X,103821988,103697414,-,0.8743991446899924,0.0401337283874881,0.051210574341118864,21.56926824453631,0.5319221566159504,1.3465281599822818
Eps8,Eps8,6,137649285,137477245,-,1.9690438343799723,0.0545800779077869,0.0558021823074961,35.715474780552846,0.49667017665288754,0.9967546913279739
Nlrp6,Nlrp6,7,140928540,140920902,+,5.946692837812963,0.05158063558453483,0.11836421071941577,114.13635839725812,0.6539780198902024,15.306862576713751
Rad51ap1,Rad51ap1,6,126939555,126923419,-,23.15499077295814,0.15224437966881238,0.4494263558235943,150.5700303360655,1.0425839364555192,12.674296274126975
Kidins220,Kidins220,12,25059697,24974932,+,4.7966158612642005,0.013338708673496114,0.043180019872275044,356.0052040185179,0.6767130773797061,6.710939055402826
Ephb4,Ephb4,5,137374522,137350109,+,1.9216685999902847,0.04545083460248635,0.05234645789355016,41.85735929008243,0.93042822874246,5.772357700315373
Hif1an,Hif1an,19,44576274,44562854,+,0.4799760466205111,0.011497200415894656,0.00886773726276604,41.32973845505763,0.3868110490412763,10.717791578647393
Crebrf,Crebrf,17,26776626,26715650,+,0.5138594472140592,0.015032337891025213,0.02677303567941886,33.84176542796055,0.6708148960535306,1.2277807516411228
Snx14,Snx14,9,88438951,88376747,-,1.3173103458063185,0.02169061681249194,0.02876794353338718,60.12448855752151,0.5366577553615371,3.480657542900575
Gpr153,Gpr153,4,152285337,152274362,+,0.786550451929673,0.025681284666419335,0.031978714004178725,30.321105720563082,0.5770004410257522,5.694260774213971
Celf3,Celf3,3,94492193,94478831,+,17.810727291625295,0.023780081703647808,0.10757046811719748,741.4869401396649,1.289194107500776,14.134280041982956
Slc9a3r1,Slc9a3r1,11,115181178,115163341,+,,,,,0,0
Tk1,Tk1,11,117826014,117815519,-,2.04292555688615,0.03096793399663249,0.041811182141209165,65.30937134964245,0.7622767575652618,5.817717671109957
Sin3a,Sin3a,9,57128368,57072040,+,0.5680882956927503,0.01071366957523405,0.013953419458416143,52.4943772800214,0.36547446248500615,5.135396018233752
Serinc5,Serinc5,13,92711946,92611138,+,0.7162806612506221,0.03583039789251535,0.03480252306233381,19.790956739172696,0.44687835573067913,1.911026488245037
Dync2h1,Dync2h1,9,7177046,6928503,-,3.4417400429962064,0.024979733604306067,0.06719637473939784,136.40348198024344,0.5678851793188849,3.9464738551920826
Piga,Piga,X,164433915,164419787,+,1.1707908206339113,0.03596065925968251,0.037962210640290796,32.231970611481096,0.42634886253819637,3.564104279770743
Tmem168,Tmem168,6,13608063,13580689,-,1.8969642888395402,0.0678114918446398,0.06662433765023486,27.694341989315664,0.5023343581755052,3.6526495619033357
Ddx1,Ddx1,12,13249174,13219307,-,4.890998281178201,0.024185037030954933,0.027793263438362144,200.21008411808216,0.470354457548603,23.178287616495993
Emb,Emb,13,117274415,117220573,+,0.6429333397523777,0.011459601791043371,0.012083043462879564,55.54329181423517,0.41828323260399763,4.495256386452567
Myc,Myc,15,61990361,61985341,+,1.9370781465712665,0.059759466939146695,0.03867513897300145,32.090436266079195,0.4458799118431212,16.563858337476354
Gucd1,Gucd1,10,75517322,75506814,-,2.6732566365450925,0.017502198060643834,0.03655739619181766,151.21095424755393,0.4566974961745874,39.675984421161004
Mtmr6,Mtmr6,14,60302371,60265205,+,1.3442489045062087,0.016318866627021894,0.01923915358216355,81.55017415593719,0.5356317654865481,6.677455269948636
Pnpla3,Pnpla3,15,84189521,84167816,+,7.384128625006621,0.11279458092824433,0.15347288511644644,64.81062546264599,1.121279637783185,1.4214549459559267
Prps1,Prps1,X,140476140,140456603,+,2.10190944569981,0.02676340392718901,0.020972610515151452,77.75133375799146,0.592792251329235,48.97709068555815
Srebf2,Srebf2,15,82204960,82147269,+,4.191031406548116,0.03334378208982995,0.037489207659374316,124.43462716091048,0.41796191920039427,6.054503832059595
Hgsnat,Hgsnat,8,25976744,25944459,-,0.36252705113821876,0.013690817223220096,0.013562430308480734,26.214781395089172,0.49262917695855685,3.3729017793082265
Epb4.1l5,Epb4.1l5,1,119649000,119545033,-,2.343278000707482,0.020289740215234924,0.04376331153231214,114.33587596939799,0.46112766075835804,2.856907451107795
Prune2,Prune2,19,17223932,16956118,+,1.0199991133072461,0.01818767933845935,0.02773979570848144,55.521053751968786,0.5704755481494825,2.447800348587923
Wdr47,Wdr47,3,108645719,108591278,+,0.5793245379856017,0.021791717480168938,0.021709912473625373,26.31877423739891,0.47667547735323323,2.1766064548476622
Limd1,Limd1,9,123521552,123478701,+,0.8369890326982947,0.011213560024709714,0.012546229036579768,73.89438684462407,0.3573914008300166,5.323584988336561
Tet1,Tet1,10,62880014,62804570,-,3.686254721640022,0.020782205210429193,0.057873660371362504,175.60177745681372,0.4913069336761915,11.805334668912788
Il20ra,Il20ra,10,19760053,19712587,+,1.743578237893317,0.10313776727548814,0.10565232609161412,16.736279067431596,0.8121799988888854,2.1884833453808796
Kpna3,Kpna3,14,61439947,61365186,-,1.368006134720229,0.008031820640152431,0.019836529000668582,168.62005939257674,0.488544361307409,6.9099471294116945
Vwa5a,Vwa5a,9,38743337,38718268,+,0.3704051546176822,0.018247960372606165,0.011189732913019603,20.095457003622005,0.5601804985271154,6.289310002594949
Anks1,Anks1,17,28062636,27909340,+,1.0814710776228598,0.007964319278400994,0.013773046158756469,134.43162302021474,0.5757172178579602,1.3599621519684777
Prmt10,Prmt10,8,77581338,77549397,+,0.24578486378375014,0.01378496382208213,0.011628397881940918,17.651625226330093,0.40547279136843717,2.010492677930354
Rnf130,Rnf130,11,50104733,50025331,+,4.2041456100329455,0.02076932427652613,0.0881555956538897,200.39670518490107,1.248146343635988,3.5773884629842456
Kif3b,Kif3b,2,153333389,153291416,+,1.0514246980631554,0.035556032698086444,0.03825459835142791,29.27521357405388,0.3800942335157391,3.621452092271247
Shmt1,Shmt1,11,60811265,60788897,-,3.535902214005878,0.07760211777233686,0.09380055958200183,45.108861618125474,0.753853645988262,4.935189135344235
March8,March8,6,116409540,116338123,+,1.675679327133945,0.035550735170098685,0.04001388670325393,46.66352259454556,0.45652069877866863,2.2714989515315933
Zfp563,Zfp563,17,33110704,33089367,+,1.5344222287314984,0.07511987628459682,0.07803023974092752,20.22205149392222,0.562733027722025,5.645018953670601
Tab3,Tab3,X,85634469,85574022,+,0.3933629787944268,0.01949799854254072,0.022431106192592285,19.972785830136658,0.4698404621780608,1.7874626110547966
Map2k5,Map2k5,9,63377852,63163770,-,2.1377961746396865,0.015181329784960782,0.024821221738120226,139.40927724196442,0.5285415111689096,0.4951157059302377
Plxdc2,Plxdc2,2,16752115,16356322,+,1.3747922735285134,0.05026058418358741,0.0913626540950429,27.07975589423565,0.5477152877005339,0.539401752781985
Rai2,Rai2,X,161779494,161717036,+,1.7068857886135584,0.04890024001809537,0.06746623591008546,34.5564138356399,0.7830750221593371,1.6682541040483092
Zfp426,Zfp426,9,20492746,20468549,-,1.7809377926648313,0.01255470523018216,0.038291848731533025,140.4356679358374,0.45271706220540475,11.650905150018673
Ncam2,Ncam2,16,81624287,81200697,+,0.5311188015205183,0.013613108777915085,0.02949421868928926,38.6250945381664,0.693044523459848,0.18087326037994858
Abcg2,Abcg2,6,58692451,58596672,+,3.7714771590085654,0.018763060681505444,0.0672781208516695,198.9953798475326,0.8368531794011994,6.2348365165456245
Dnajc3,Dnajc3,14,118981702,118937932,+,0.95127199057021,0.01752954548535548,0.01947469512270946,53.72411232517533,0.40921462727663455,8.158067506411689
Loxl3,Loxl3,6,83052564,83034224,+,0.6679184961800977,0.023664109085670675,0.025827263176442627,27.942708885613484,0.709903722840903,3.1003804956064815
Akr1e1,Akr1e1,13,4609164,4592490,-,0.5262499016508787,0.008251064789086904,0.01336508230429927,63.141838774971546,0.35517499311838774,21.37031787030353
Itgb1,Itgb1,8,128733579,128685654,+,19.61180450718742,0.017717694804818447,0.059087557766163874,1095.8359242555255,0.7155667218274555,46.17861260150047
Lbh,Lbh,17,72941946,72918305,+,6.903430203471853,0.040574927926837895,0.09599932028846114,168.43889196206283,0.8750643525355758,16.63610975558938
Tmem18,Tmem18,12,30591219,30584443,+,1.6445810024655674,0.027937583152288767,0.04224800537027272,58.27759629621104,0.3816548149398417,17.220182873274446
Atp9b,Atp9b,18,80934058,80734141,-,0.5886323258756404,0.009729289596464331,0.012135395338796996,59.89604861064642,0.5043331528208097,0.5026164257354011
Tef,Tef,15,81826863,81802673,+,3.326647091904327,0.03950022438183222,0.08620732324076903,83.37625095871722,0.6056781126304918,5.9328287862481
Zfp454,Zfp454,11,50887443,50872723,-,0.8141189214013067,0.03389717542884792,0.03891120223603416,23.777135468974,0.5637885542099611,5.380960195069765
Zfp941,Zfp941,7,140822178,140809677,-,1.0510657856063357,0.06802736689486881,0.05116976812204713,15.296125298490121,0.5598186151598445,8.272013508435963
Fam63b,Fam63b,9,70657174,70599014,-,0.9540413006683206,0.01710314131583665,0.03036627743809351,55.22382527396163,0.437006529009393,3.6821371864238825
Amotl2,Amotl2,9,102733417,102717804,+,1.055414524054866,0.0284517892963566,0.028473538647949093,36.723889943474205,0.7152803670001915,7.210362275074017
Gdpd1,Gdpd1,11,87074137,87033794,-,14.6277592240652,0.03426357086619884,0.11879668163829463,409.55551502567977,0.8224625861974786,10.160592286270326
Zfp346,Zfp346,13,55135071,55105309,+,0.3638813050875565,0.012287839978916653,0.014145654608329512,29.31699083441689,0.39340717162604005,1.4690919235909656
Zfp870,Zfp870,17,32891603,32879221,-,3.3084392036845447,0.16688277950777286,0.11237883182860038,19.626679405199766,0.599979795885184,9.272235549542806
Cenpj,Cenpj,14,56571846,56526761,-,1.8376524458615844,0.04116691376107374,0.04482902280073284,44.19267210463622,0.5540646646121407,6.658835184149575
Cept1,Cept1,3,106547761,106502260,-,0.5018939393562157,0.014733256824196388,0.017747634019736853,33.724722638828716,0.3746956742851125,1.8128926690503047
Zfp672,Zfp672,11,58330339,58315114,-,1.2351934083825833,0.04530557285407651,0.052888779479756357,26.99097257278645,0.45841743314531247,1.947643423755129
Abat,Abat,16,8621567,8513429,+,3.4955398251027576,0.03590922952640895,0.03600799985974429,96.37033354632938,0.49204991772599505,2.7527261204669062
Ttc8,Ttc8,12,98983238,98920574,+,2.5553995555680804,0.04623860658977754,0.05525950785683426,54.712841640251746,0.6532484609004968,1.677233602348272
Zfp82,Zfp82,7,30072823,30056034,-,0.7288432261606459,0.052840801890011925,0.04370537878221544,13.655258211276864,0.5197032591476087,4.32079790508566
Gpx3,Gpx3,11,54910382,54902854,+,,,,,0,0
Notch2,Notch2,3,98150367,98013538,+,4.039757891934411,0.06079578227580188,0.08751829930355766,65.783515949706,0.8028592383677552,2.178078772597856
Il6st,Il6st,13,112506860,112464070,+,1.5606763311252396,0.05476780166988594,0.05881876272588859,28.21127598158725,0.6776841431199525,5.791247360512174
Pold1,Pold1,7,44548815,44532744,-,6.7359420519366555,0.03885358847243529,0.09695877060777149,171.63363523419002,0.8237114717979052,42.01075294173688
4930427A07Rik,4930427A07Rik,12,113165458,113156421,+,1.626448386337817,0.04772137566550653,0.0546980135024389,33.74135552505238,0.6916375555810746,11.460927999997011
Atr,Atr,9,95951644,95857597,+,0.9623805112905446,0.03636858249070672,0.04078345056541712,26.197246109910868,0.5017969686533794,2.192424487290942
Phyh,Phyh,2,4938743,4918996,+,1.3503619441448556,0.024785582918576448,0.0232962992544769,53.93693297814071,0.48386251271406167,7.501784909837534
Dtna,Dtna,18,23659714,23415415,+,1.2980905977944472,0.030593392705292512,0.06443639814785561,42.006118909269745,0.884622180770428,1.1021347954724074
Hsdl1,Hsdl1,8,119575200,119561978,-,2.0991417102360317,0.03325919754717507,0.023195521107667413,62.48347664389704,0.49580106066527907,16.607624665284888
Nsl1,Nsl1,1,191084558,191063021,+,2.8946547503055924,0.07935110105529097,0.07987472678411625,36.114284045104085,1.2856411450577203,2.9193416205491047
